AverageTemperature,City,Country,Year,Month
26.161,0.0,1.0,1890.0,10.0
25.64,0.0,1.0,1890.0,11.0
24.657,0.0,1.0,1890.0,12.0
24.381,0.0,1.0,1891.0,1.0
24.397,0.0,1.0,1891.0,2.0
23.65,0.0,1.0,1891.0,3.0
23.689,0.0,1.0,1891.0,4.0
25.446,0.0,1.0,1891.0,5.0
26.653,0.0,1.0,1891.0,6.0
26.997,0.0,1.0,1891.0,7.0
26.916,0.0,1.0,1891.0,8.0
26.875,0.0,1.0,1891.0,9.0
25.473,0.0,1.0,1891.0,10.0
26.286,0.0,1.0,1891.0,11.0
25.724,0.0,1.0,1891.0,12.0
24.348,0.0,1.0,1892.0,1.0
24.739,0.0,1.0,1892.0,2.0
23.479,0.0,1.0,1892.0,3.0
24.878,0.0,1.0,1892.0,4.0
26.368,0.0,1.0,1892.0,5.0
27.499,0.0,1.0,1892.0,6.0
27.424,0.0,1.0,1892.0,7.0
27.099,0.0,1.0,1892.0,8.0
26.602,0.0,1.0,1892.0,9.0
26.252,0.0,1.0,1892.0,10.0
25.683,0.0,1.0,1892.0,11.0
25.426,0.0,1.0,1892.0,12.0
23.701,0.0,1.0,1893.0,1.0
24.51,0.0,1.0,1893.0,2.0
23.416,0.0,1.0,1893.0,3.0
25.245,0.0,1.0,1893.0,4.0
25.63,0.0,1.0,1893.0,5.0
26.456,0.0,1.0,1893.0,6.0
26.435,0.0,1.0,1893.0,7.0
26.984,0.0,1.0,1893.0,8.0
26.891,0.0,1.0,1893.0,9.0
26.08,0.0,1.0,1893.0,10.0
26.429,0.0,1.0,1893.0,11.0
24.641,0.0,1.0,1893.0,12.0
24.97,0.0,1.0,1894.0,1.0
24.326,0.0,1.0,1894.0,2.0
23.387,0.0,1.0,1894.0,3.0
24.423,0.0,1.0,1894.0,4.0
26.104,0.0,1.0,1894.0,5.0
27.336,0.0,1.0,1894.0,6.0
27.078,0.0,1.0,1894.0,7.0
27.137,0.0,1.0,1894.0,8.0
27.173,0.0,1.0,1894.0,9.0
26.384,0.0,1.0,1894.0,10.0
25.543,0.0,1.0,1894.0,11.0
25.106,0.0,1.0,1894.0,12.0
24.208,0.0,1.0,1895.0,1.0
23.805,0.0,1.0,1895.0,2.0
24.088,0.0,1.0,1895.0,3.0
24.717,0.0,1.0,1895.0,4.0
26.022,0.0,1.0,1895.0,5.0
27.211,0.0,1.0,1895.0,6.0
27.233,0.0,1.0,1895.0,7.0
27.419,0.0,1.0,1895.0,8.0
27.185,0.0,1.0,1895.0,9.0
26.31,0.0,1.0,1895.0,10.0
27.488,0.0,1.0,1895.0,11.0
25.513,0.0,1.0,1895.0,12.0
25.051,0.0,1.0,1896.0,1.0
23.616,0.0,1.0,1896.0,2.0
24.594,0.0,1.0,1896.0,3.0
24.977,0.0,1.0,1896.0,4.0
26.819,0.0,1.0,1896.0,5.0
27.78,0.0,1.0,1896.0,6.0
27.903,0.0,1.0,1896.0,7.0
27.623,0.0,1.0,1896.0,8.0
27.368,0.0,1.0,1896.0,9.0
27.594,0.0,1.0,1896.0,10.0
27.562,0.0,1.0,1896.0,11.0
24.988,0.0,1.0,1896.0,12.0
25.286,0.0,1.0,1897.0,1.0
25.243,0.0,1.0,1897.0,2.0
25.44,0.0,1.0,1897.0,3.0
25.148,0.0,1.0,1897.0,4.0
26.239,0.0,1.0,1897.0,5.0
27.361,0.0,1.0,1897.0,6.0
27.235,0.0,1.0,1897.0,7.0
27.717,0.0,1.0,1897.0,8.0
